indicador,Empresa,Industria,seccion
Ratio Precio/UtilidadTTM,"25,86","28,46",Ratios_valoración
Precio/VentasTTM,"4,62","3,51",Ratios_valoración
Precio/Flujo de cajaMRQ,"20,55","20,05",Ratios_valoración
Precio/Flujo de caja libreTTM,"34,05","22,34",Ratios_valoración
Precio/Valor ContableMRQ,"7,74","23,22",Ratios_valoración
Precio/Valor Contable NetoMRQ,"-34,34","-11,15",Ratios_valoración
Margen brutoTTM,"51,72%","61,36%",Rentabilidad
Margen bruto5YA,"49,75%","54,26%",Rentabilidad
Margen operativoTTM,"25,12%","20,12%",Rentabilidad
Margen operativo5YA,"23,63%","19,7%",Rentabilidad
Margen Antes de ImpuestosTTM,"23,06%","16,69%",Rentabilidad
Margen Antes de Impuestos5YA,"22,52%","16,46%",Rentabilidad
Margen de utilidad netoTTM,"18,35%","12,46%",Rentabilidad
Margen de utilidad neto5YA,"18,22%","12,67%",Rentabilidad
Beneficio/AcciónTTM,"35,78","145,13",Datos_por_acción
BPA BásicoANN,"6,18","8,99",Datos_por_acción
BPA DiluidoANN,"6,02","8,93",Datos_por_acción
Ratio Bolsa/LibrosMRQ,"21,49","93,2",Datos_por_acción
Valor Contable Neto/AcciónMRQ,"-4,84","53,21",Datos_por_acción
Efectivo/AcciónMRQ,"4,36","25,12",Datos_por_acción
Flujo de caja/AcciónTTM,"7,69","19,12",Datos_por_acción
Rentabilidad sobre fondos propiosTTM,"31,06%","133,64%",Eficacia_gestión
Rentabilidad sobre la inversión5YA,"30,43%","136,94%",Eficacia_gestión
Rentabilidad sobre los activosTTM,"10,88%","9,95%",Eficacia_gestión
Rentabilidad sobre los activos5YA,"9,74%","9,61%",Eficacia_gestión
Rentabilidad sobre la inversiónTTM,"15,7%","18,13%",Eficacia_gestión
Rentabilidad sobre fondos propios5YA,"14,32%","16,84%",Eficacia_gestión
BPA(MRQ) vs Trimestre 1 Año AtrásMRQ,"34,07%","3,77%",Crecimiento
BPA(TTM) vs TTM 1 Año AtrásTTM,"5,09%","-0,47%",Crecimiento
Crecimiento del BPA en 5 Años5YA,"33,3%","11,36%",Crecimiento
Ventas (MRQ) vs Trimestre 1 Año AtrásMRQ,"2,06%","2,2%",Crecimiento
Ventas (TTM) vs TTM 1 Año AtrásTTM,"0,49%","2,18%",Crecimiento
Crecimiento de las Ventas en 5 Años5YA,"4,42%","4,59%",Crecimiento
Crecimiento del Consumo de Capital en 5 Años5YA,"-0,15%","2,12%",Crecimiento
Test ácidoMRQ,"0,49","0,62",Fuerza_financiera
Ratio de solvenciaMRQ,"0,76","0,99",Fuerza_financiera
Deuda a largo plazo/Total fondos propiosMRQ,"49,11%","266,58%",Fuerza_financiera
Total deuda/Total fondos propiosMRQ,"67,43%","312,48%",Fuerza_financiera
Rotación de ActivosTTM,"0,69","0,78",Eficiencia
Rotación de InventariosTTM,"5,75","5,07",Eficiencia
Ingresos /EmpleadoTTM,"0,78","38,43",Eficiencia
Beneficio neto/EmpleadoTTM,"0,14","4,53",Eficiencia
Rotación de Cuentas a CobrarTTM,"13,42","11,41",Eficiencia
Rentabilidad por DividendoANN,"2,3%","2,14%",Dividendo
Promedio de Rendimiento del Dividendo en 5 Años5YA,"2,15%","2,5%",Dividendo
Tasa de Crecimiento de los DividendosANN,"6,99%","9,77%",Dividendo
Ratio PayoutTTM,"62,14%","67,1%",Dividendo
